book_names,availability,ratings,prices,categories,book_urls,book_images,source_website,scraped_at
A Light in the Attic,22,Three,£51.77,Poetry,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,https://books.toscrape.com/,2026-08-05 09:15:49.062432+00:00
Tipping the Velvet,20,One,£53.74,Historical Fiction,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,https://books.toscrape.com/,2026-08-05 09:15:49.374275+00:00
Soumission,20,One,£50.10,Fiction,https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,https://books.toscrape.com/,2026-08-05 09:15:49.674389+00:00
Sharp Objects,20,Four,£47.82,Mystery,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,https://books.toscrape.com/,2026-08-05 09:15:49.982355+00:00
Sapiens: A Brief History of Humankind,20,Five,£54.23,History,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,https://books.toscrape.com/,2026-08-05 09:15:50.298243+00:00
The Requiem Red,19,One,£22.65,Young Adult,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,https://books.toscrape.com/,2026-08-05 09:15:50.597262+00:00
The Dirty Little Secrets of Getting Your Dream Job,19,Four,£33.34,Business,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,https://books.toscrape.com/,2026-08-05 09:15:50.934668+00:00
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",19,Three,£17.93,Default,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,https://books.toscrape.com/,2026-08-05 09:15:51.248458+00:00
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,19,Four,£22.60,Default,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,https://books.toscrape.com/,2026-08-05 09:15:51.559001+00:00
The Black Maria,19,One,£52.15,Poetry,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,https://books.toscrape.com/,2026-08-05 09:15:51.902715+00:00
"Starving Hearts (Triangular Trade Trilogy, #1)",19,Two,£13.99,Default,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,https://books.toscrape.com/,2026-08-05 09:15:52.210220+00:00
Shakespeare's Sonnets,19,Four,£20.66,Poetry,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,https://books.toscrape.com/,2026-08-05 09:15:52.539042+00:00
Set Me Free,19,Five,£17.46,Young Adult,https://books.toscrape.com/catalogue/set-me-free_988/index.html,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,https://books.toscrape.com/,2026-08-05 09:15:52.857320+00:00
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),19,Five,£52.29,Sequential Art,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,https://books.toscrape.com/,2026-08-05 09:15:53.174070+00:00
Rip it Up and Start Again,19,Five,£35.02,Music,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,https://books.toscrape.com/,2026-08-05 09:15:53.497398+00:00
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",19,Three,£57.25,Music,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,https://books.toscrape.com/,2026-08-05 09:15:53.816861+00:00
Olio,19,One,£23.88,Poetry,https://books.toscrape.com/catalogue/olio_984/index.html,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,https://books.toscrape.com/,2026-08-05 09:15:54.136691+00:00
Mesaerion: The Best Science Fiction Stories 1800-1849,19,One,£37.59,Science Fiction,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,https://books.toscrape.com/,2026-08-05 09:15:54.437692+00:00
Libertarianism for Beginners,19,Two,£51.33,Politics,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,https://books.toscrape.com/,2026-08-05 09:15:54.763685+00:00
It's Only the Himalayas,19,Two,£45.17,Travel,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,https://books.toscrape.com/,2026-08-05 09:15:55.069836+00:00
In Her Wake,19,One,£12.84,Thriller,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,https://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,https://books.toscrape.com/,2026-08-05 09:15:56.533325+00:00
How Music Works,19,Two,£37.32,Music,https://books.toscrape.com/catalogue/how-music-works_979/index.html,https://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,https://books.toscrape.com/,2026-08-05 09:15:58.219527+00:00
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",19,Three,£30.52,Food and Drink,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,https://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,https://books.toscrape.com/,2026-08-05 09:15:58.783767+00:00
Chase Me (Paris Nights #2),19,Five,£25.27,Romance,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,https://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,https://books.toscrape.com/,2026-08-05 09:15:59.260811+00:00
Black Dust,19,Five,£34.53,Romance,https://books.toscrape.com/catalogue/black-dust_976/index.html,https://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,https://books.toscrape.com/,2026-08-05 09:16:00.494008+00:00
Birdsong: A Story in Pictures,19,Three,£54.64,Childrens,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,https://books.toscrape.com/,2026-08-05 09:16:00.807864+00:00
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,19,Three,£22.50,Default,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,https://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,https://books.toscrape.com/,2026-08-05 09:16:01.151701+00:00
Aladdin and His Wonderful Lamp,19,Three,£53.13,Default,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,https://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,https://books.toscrape.com/,2026-08-05 09:16:02.638392+00:00
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,18,Five,£40.30,Nonfiction,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,https://books.toscrape.com/,2026-08-05 09:16:02.958107+00:00
